Sample ID,Tissue,Species,Total number of reads sequenced,Total number of mapped reads
C1H,heart,chimpanzee,55927590,43730485
C1K,kidney,chimpanzee,61400129,50816658
C1Li,liver,chimpanzee,57025683,48455432
C1Lu,lung,chimpanzee,51474896,45201971
C2H,heart,chimpanzee,55275846,41488716
C2K,kidney,chimpanzee,50868643,43458187
C2Li,liver,chimpanzee,60967721,53009441
C2Lu,lung,chimpanzee,67695016,58553930
C3H,heart,chimpanzee,78945209,57134346
C3K,kidney,chimpanzee,55912962,46788955
C3Li,liver,chimpanzee,45406233,40494241
C3Lu,lung,chimpanzee,51025538,44668243
C4H,heart,chimpanzee,54371918,42875686
C4K,kidney,chimpanzee,45572079,38641118
C4Li,liver,chimpanzee,45102660,38212752
C4Lu,lung,chimpanzee,54116102,46261890
H1H,heart,human,52408636,47314902
H1K,kidney,human,53720020,49112617
H1Li,liver,human,54407201,49849810
H1Lu,lung,human,39043372,36662787
H2H,heart,human,58176244,44692055
H2K,kidney,human,41772199,32280429
H2Li,liver,human,48191245,41396167
H2Lu,lung,human,58246932,51923351
H3H,heart,human,48052618,37692824
H3K,kidney,human,57240131,50655621
H3Li,liver,human,60781689,48295638
H3Lu,lung,human,57679735,53266702
H4H,heart,human,57262399,48345269
H4K,kidney,human,65854833,55527666
H4Li,liver,human,61496546,50207841
H4Lu,lung,human,71446049,63610296
R1H,heart,rhesus macaque,38338705,28544039
R1K,kidney,rhesus macaque,36054731,30648864
R1Li,liver,rhesus macaque,38698026,34079838
R1Lu,lung,rhesus macaque,45108350,40218152
R2H,heart,rhesus macaque,46772999,35185642
R2K,kidney,rhesus macaque,44876387,36882391
R2Li,liver,rhesus macaque,55752864,49542136
R2Lu,lung,rhesus macaque,56397109,49692929
R3H,heart,rhesus macaque,74469912,52811811
R3K,kidney,rhesus macaque,53365079,42357768
R3Li,liver,rhesus macaque,60591539,52407786
R3Lu,lung,rhesus macaque,66750190,58473590
R4H,heart,rhesus macaque,52014987,38223914
R4K,kidney,rhesus macaque,59267611,50315080
R4Li,liver,rhesus macaque,83859222,72808273
R4Lu,lung,rhesus macaque,68303860,59886968
