Sample ID	Individual	Species	Tissue
C1H	chimp 4x0519 	Chimp	heart
C1K	chimp 4x0519 	Chimp	kidney
C1Li	chimp 4x0519 	Chimp	liver
C1Lu	chimp 4x0519 	Chimp	lung
C2H	chimp YN07-387	Chimp	heart
C2K	chimp YN07-387	Chimp	kidney
C2Li	chimp YN07-387	Chimp	liver
C2Lu	chimp YN07-387	Chimp	lung
C3H	chimp 4x0516	Chimp	heart
C3K	chimp 4x0516	Chimp	kidney
C3Li	chimp 4x0516	Chimp	liver
C3Lu	chimp 4x0516	Chimp	lung
C4H	chimp c0563-YN07-147	Chimp	heart
C4K	chimp c0563-YN07-147	Chimp	kidney
C4Li	chimp c0563-YN07-147	Chimp	liver
C4Lu	chimp c0563-YN07-147	Chimp	lung
H1H	hum  60705 	Human	heart
H1K	hum  60705	Human	kidney
H1Li	hum  60705	Human	liver
H1Lu	hum  60705	Human	lung
H2H	hum 61317	Human	heart
H2K	hum 61317	Human	kidney
H2Li	hum 61317	Human	liver
H2Lu	hum 61317	Human	lung
H3H	hum 62789	Human	heart
H3K	hum 62789	Human	kidney
H3Li	hum 62789	Human	liver
H3Lu	hum 62789	Human	lung
H4H	hum 62905	Human	heart
H4K	hum 62905	Human	kidney
H4Li	hum 62905	Human	liver
H4Lu	hum 62905	Human	lung
R1H	rhe YN07-314	Rhesus	heart
R1K	rhe YN07-314	Rhesus	kidney
R1Li	rhe YN07-314	Rhesus	liver
R1Lu	rhe YN07-314	Rhesus	lung
R2H	rhe YN07-330	Rhesus	heart
R2K	rhe YN07-330	Rhesus	kidney
R2Li	rhe YN07-330	Rhesus	liver
R2Lu	rhe YN07-330	Rhesus	lung
R3H	rhe YN07-315	Rhesus	heart
R3K	rhe YN07-315	Rhesus	kidney
R3Li	rhe YN07-315	Rhesus	liver
R3Lu	rhe YN07-315	Rhesus	lung
R4H	rhe YN07-317	Rhesus	heart
R4K	rhe YN07-317	Rhesus	kidney
R4Li	rhe YN07-317	Rhesus	liver
R4Lu	rhe YN07-317	Rhesus	lung
